"kjonn","alder","ansvar","likhet","staasted"
1,22,5,4,2
1,58,10,3,5
1,63,8,3,5
1,52,5,1,8
1,67,7,4,7
1,73,10,5,5
2,33,10,2,6
2,39,5,2,3
2,77,8,2,6
1,30,8,2,5
2,41,8,2,0
1,70,8,4,4
2,57,4,3,3
1,47,5,2,4
1,43,8,2,3
2,40,5,3,5
2,17,2,2,0
2,33,7,3,6
2,92,6,2,8
2,53,4,4,0
1,64,6,1,3
1,80,4,4,3
2,30,6,2,5
2,50,7,4,4
1,26,5,3,2
2,40,3,4,NA
2,85,8,3,5
2,48,7,4,4
2,70,NA,4,4
2,40,7,2,5
2,61,8,2,5
2,42,5,4,5
1,54,5,3,6
2,36,9,2,5
2,51,7,2,6
2,35,3,3,5
1,72,8,2,4
2,25,5,2,4
2,63,3,3,6
1,38,8,2,4
1,73,7,2,5
1,22,3,3,5
2,32,5,4,3
1,17,5,3,7
1,31,7,2,3
2,45,6,2,7
2,64,10,2,2
1,54,8,3,5
1,16,6,2,1
2,46,5,4,5
2,68,5,3,5
2,16,7,2,1
2,17,5,3,2
1,62,8,2,3
2,48,NA,4,0
1,72,8,3,6
1,74,8,3,5
2,79,6,2,6
1,65,9,2,2
2,53,5,4,3
1,67,8,2,3
1,21,7,3,6
2,44,5,3,5
1,55,6,2,4
2,46,3,1,4
2,81,4,3,5
1,76,5,2,8
2,61,5,2,3
1,31,3,3,5
1,49,7,2,5
2,26,7,2,6
2,77,8,2,8
2,30,2,2,5
2,53,6,4,3
1,27,6,2,6
1,76,5,3,5
2,36,10,1,0
1,32,7,2,4
1,33,8,4,5
1,59,7,3,1
1,33,5,3,4
1,54,4,3,5
1,73,8,3,NA
2,34,7,2,5
1,16,8,4,5
2,61,7,4,5
1,36,7,2,4
1,47,4,2,6
1,27,5,2,5
2,17,7,3,4
1,75,7,4,5
2,57,8,4,5
1,45,7,4,3
2,72,3,2,5
1,41,7,2,4
2,80,6,2,8
1,73,7,2,3
2,66,7,2,3
2,41,5,2,5
1,41,7,2,4
1,33,8,2,5
1,16,6,NA,3
2,63,8,3,6
2,69,5,2,3
2,38,2,4,5
1,27,8,2,5
2,23,3,4,7
1,53,6,2,5
1,53,3,4,4
1,20,5,1,0
1,59,5,4,5
1,64,5,2,5
2,31,4,2,6
2,27,5,3,0
2,68,6,3,3
2,52,6,5,5
1,45,3,2,4
1,63,5,2,5
2,37,5,3,3
2,79,2,4,5
1,46,5,4,4
1,49,10,2,3
2,27,8,3,5
1,17,8,3,7
1,46,8,2,7
1,48,7,2,4
2,76,5,3,7
2,80,5,2,7
1,15,6,2,4
2,23,7,2,5
2,50,0,2,2
1,42,7,3,6
2,38,5,2,5
1,48,10,3,5
2,22,7,2,3
2,55,6,2,5
1,31,7,2,5
1,68,4,3,5
2,80,6,2,7
2,55,2,4,1
2,41,5,2,4
2,22,6,2,6
1,16,7,3,6
2,70,5,2,7
2,20,4,3,5
2,42,5,4,5
2,52,5,2,2
1,39,5,2,5
2,74,7,2,4
1,70,5,3,5
2,16,10,2,7
1,52,5,3,5
2,25,7,4,3
2,29,10,3,2
2,70,0,4,4
